id,type,class
2119,CORRIDOR,1_open@0@1
2120,CORRIDOR,1_open@0@1
2121,WORKING,1_open@1@2
2122,BATH,1_open@2@1
2123,TOILET,1_open@1@1
2124,CORRIDOR,1_open@0@4
2125,CORRIDOR,1_open@1@1
2126,SLEEPING,1_open@1@1
2127,STORAGE,1_open@1@1
2128,TOILET,1_open@1@1
2129,CORRIDOR,1_open@0@4
2130,CHILDREN,1_open@1@2
2131,TOILET,1_open@1@2
2132,STORAGE,1_open@1@1
2133,TOILET,1_open@1@1
2134,CORRIDOR,1_open@0@4
2135,SLEEPING,1_open@1@2
2136,EXTERIOR,1_open@2@2
2137,EXTERIOR,1_open@1@3
2138,EXTERIOR,1_open@2@1
2139,STORAGE,1_open@1@1
2140,CORRIDOR,1_open@0@3
2141,TOILET,1_open@1@1
2142,KITCHEN,1_open@1@2
2143,LIVING,1_open@1@3
2144,EXTERIOR,1_open@2@1
2145,TOILET,1_open@1@1
2146,CORRIDOR,1_open@0@3
2147,ROOM,1_open@1@2
2148,KITCHEN,1_open@1@2
2149,TOILET,1_open@1@2
2150,SLEEPING,1_open@1@2
2151,CORRIDOR,1_open@0@4
2152,TOILET,1_open@1@1
2153,BATH,1_open@1@1
2154,CORRIDOR,1_open@1@4
2155,BATH,1_open@2@1
2156,SLEEPING,1_open@2@2
2157,TOILET,1_open@2@2
2158,CORRIDOR,1_open@0@1
2159,TOILET,1_open@1@1
2160,CORRIDOR,1_open@0@4
2161,SLEEPING,1_open@1@2
2162,KITCHEN,1_open@1@2
2163,STORAGE,1_open@1@1
2164,CORRIDOR,1_open@0@2
2165,LIVING,1_open@1@2
2166,BATH,1_open@2@1
2167,STORAGE,1_open@1@1
2168,CORRIDOR,1_open@1@1
2169,CORRIDOR,1_open@0@3
2170,WORKING,1_open@1@3
2171,TOILET,1_open@2@1
2172,BATH,1_open@2@1
2173,STORAGE,1_open@1@1
2174,TOILET,1_open@1@1
2175,CORRIDOR,1_open@0@3
2176,CORRIDOR,1_open@1@1
2177,SLEEPING,1_open@1@1
2178,TOILET,1_open@1@1
2179,CORRIDOR,1_open@0@4
2180,CORRIDOR,1_open@1@1
2181,WORKING,1_open@1@1
2182,STORAGE,1_open@1@1
2183,CORRIDOR,1_open@0@1
2184,CORRIDOR,1_open@1@3
2185,EXTERIOR,1_open@4@1
2186,TOILET,1_open@3@2
2187,SLEEPING,1_open@2@3
2188,BATH,1_open@3@1
2189,STORAGE,1_open@2@1
2190,CORRIDOR,1_open@0@2
2191,SLEEPING,1_open@1@2
2192,BATH,1_open@2@1
2193,STORAGE,1_open@1@1
2194,TOILET,1_open@2@1
2195,SLEEPING,1_open@1@3
2196,CORRIDOR,1_open@0@1
2197,BATH,1_open@2@1
2198,TOILET,1_open@1@1
2199,CORRIDOR,1_open@0@4
2200,CORRIDOR,1_open@1@1
2201,ROOM,1_open@1@1
2202,STORAGE,1_open@1@1
2203,CORRIDOR,1_open@0@2
2204,CHILDREN,1_open@1@2
2205,BATH,1_open@1@2
2206,BATH,1_open@2@1
2207,SLEEPING,1_open@1@3
2208,EXTERIOR,1_open@2@1
2209,CORRIDOR,1_open@0@2
2210,STORAGE,1_open@1@1
2211,TOILET,1_open@2@1
2212,SLEEPING,1_open@1@3
2213,CORRIDOR,1_open@0@1
2214,BATH,1_open@2@1
2215,TOILET,1_open@2@1
2216,SLEEPING,1_open@1@2
2217,CORRIDOR,1_open@0@3
2218,BATH,1_open@1@1
2219,STORAGE,1_open@1@1
2220,CORRIDOR,1_open@1@1
2221,CORRIDOR,1_open@0@3
2222,SLEEPING,1_open@1@3
2223,TOILET,1_open@2@1
2224,TOILET,1_open@2@1
2225,STORAGE,1_open@1@1
2226,BATH,1_open@2@1
2227,SLEEPING,1_open@1@2
2228,CORRIDOR,1_open@0@1
2229,CORRIDOR,1_open@0@3
2230,WORKING,1_open@1@2
2231,BATH,1_open@1@2
2232,STORAGE,1_open@1@1
2233,CORRIDOR,1_open@0@1
2234,LIVING,1_open@1@2
2235,BATH,1_open@2@1
2236,CORRIDOR,1_open@0@4
2237,LIVING,1_open@1@3
2238,EXTERIOR,1_open@2@1
2239,KITCHEN,1_open@1@2
2240,BATH,1_open@1@1
2241,EXTERIOR,1_open@1@1
2242,CORRIDOR,1_open@0@1
2243,CORRIDOR,1_open@1@2
2244,EXTERIOR,1_open@4@1
2245,BATH,1_open@3@2
2246,SLEEPING,1_open@2@3
2247,BATH,1_open@3@1
2248,TOILET,1_open@2@1
2249,SLEEPING,1_open@1@2
2250,CORRIDOR,1_open@0@2
2251,BATH,1_open@1@1
2252,TOILET,1_open@1@1
2253,CORRIDOR,1_open@0@3
2254,CORRIDOR,1_open@1@1
2255,CHILDREN,1_open@1@1
2256,TOILET,1_open@1@1
2257,CORRIDOR,1_open@0@3
2258,LIVING,1_open@1@2
2259,KITCHEN,1_open@1@2
2260,BATH,1_open@2@1
2261,ROOM,1_open@1@2
2262,CORRIDOR,1_open@0@1
2263,TOILET,1_open@2@1
2264,SLEEPING,1_open@1@2
2265,CORRIDOR,1_open@0@3
2266,TOILET,1_open@1@1
2267,STORAGE,1_open@1@1
2268,CORRIDOR,1_open@1@5
2269,BATH,1_open@2@1
2270,WORKING,1_open@2@2
2271,TOILET,1_open@2@2
2272,CORRIDOR,1_open@0@1
2273,STORAGE,1_open@2@1
2274,TOILET,1_open@1@1
2275,CORRIDOR,1_open@0@4
2276,SLEEPING,1_open@1@2
2277,KITCHEN,1_open@1@2
2278,STORAGE,1_open@1@1
2279,CORRIDOR,1_open@1@1
2280,CORRIDOR,1_open@0@3
2281,SLEEPING,1_open@1@3
2282,TOILET,1_open@2@1
2283,BATH,1_open@2@1
2284,STORAGE,1_open@1@1
2285,CORRIDOR,1_open@1@1
2286,CORRIDOR,1_open@0@3
2287,CHILDREN,1_open@1@3
2288,TOILET,1_open@2@1
2289,BATH,1_open@2@1
2290,STORAGE,1_open@1@1
2291,CORRIDOR,1_open@0@1
2292,CORRIDOR,1_open@1@2
2293,EXTERIOR,1_open@4@1
2294,TOILET,1_open@3@2
2295,SLEEPING,1_open@2@3
2296,BATH,1_open@3@1
2297,TOILET,1_open@2@1
2298,ROOM,1_open@1@3
2299,CORRIDOR,1_open@0@1
2300,KITCHEN,1_open@2@1
2301,CORRIDOR,1_open@0@1
2302,CORRIDOR,1_open@1@3
2303,EXTERIOR,1_open@4@1
2304,KITCHEN,1_open@3@2
2305,ROOM,1_open@2@3
2306,BATH,1_open@3@1
2307,STORAGE,1_open@2@1
2308,TOILET,1_open@1@1
2309,CORRIDOR,1_open@0@4
2310,WORKING,1_open@1@2
2311,TOILET,1_open@1@2
2312,STORAGE,1_open@1@1
2313,CORRIDOR,1_open@0@1
2314,EXTERIOR,1_open@1@2
2315,BATH,1_open@3@1
2316,SLEEPING,1_open@2@2
2317,CORRIDOR,1_open@1@1
2318,CORRIDOR,1_open@0@2
2319,CHILDREN,1_open@1@3
2320,TOILET,1_open@2@1
2321,TOILET,1_open@2@1
2322,TOILET,1_open@1@2
2323,SLEEPING,1_open@1@2
2324,CORRIDOR,1_open@0@5
2325,TOILET,1_open@1@1
2326,BATH,1_open@1@1
2327,STORAGE,1_open@1@1
2328,BATH,1_open@2@1
2329,ROOM,1_open@1@2
2330,CORRIDOR,1_open@0@1
2331,BATH,1_open@2@1
2332,SLEEPING,1_open@1@3
2333,EXTERIOR,1_open@2@1
2334,CORRIDOR,1_open@0@2
2335,STORAGE,1_open@1@1
2336,BATH,1_open@2@1
2337,CHILDREN,1_open@1@3
2338,EXTERIOR,1_open@2@1
2339,CORRIDOR,1_open@0@1
2340,TOILET,1_open@2@1
2341,ROOM,1_open@1@3
2342,CORRIDOR,1_open@0@2
2343,KITCHEN,1_open@2@1
2344,STORAGE,1_open@1@1
2345,CORRIDOR,1_open@0@2
2346,EXTERIOR,1_open@1@2
2347,BATH,1_open@3@1
2348,LIVING,1_open@2@2
2349,STORAGE,1_open@1@1
2350,CORRIDOR,1_open@1@1
2351,CORRIDOR,1_open@0@3
2352,SLEEPING,1_open@1@3
2353,TOILET,1_open@2@1
2354,BATH,1_open@2@1
2355,STORAGE,1_open@1@1
2356,CORRIDOR,1_open@1@5
2357,BATH,1_open@2@1
2358,SLEEPING,1_open@2@2
2359,TOILET,1_open@2@2
2360,CORRIDOR,1_open@0@1
2361,STORAGE,1_open@2@1
2362,BATH,1_open@2@1
2363,CHILDREN,1_open@1@2
2364,CORRIDOR,1_open@0@2
2365,STORAGE,1_open@1@1
2366,TOILET,1_open@2@1
2367,SLEEPING,1_open@1@3
2368,CORRIDOR,1_open@0@1
2369,TOILET,1_open@2@1
2370,TOILET,1_open@1@1
2371,CORRIDOR,1_open@0@3
2372,CORRIDOR,1_open@2@1
2373,CORRIDOR,1_open@1@2
2374,KITCHEN,1_open@1@2
2375,LIVING,1_open@2@2
2376,EXTERIOR,1_open@3@1
2377,TOILET,1_open@1@1
2378,CORRIDOR,1_open@0@4
2379,CORRIDOR,1_open@1@1
2380,CHILDREN,1_open@1@1
2381,STORAGE,1_open@1@1
2382,CORRIDOR,1_open@0@2
2383,SLEEPING,1_open@1@2
2384,BATH,1_open@2@1
2385,STORAGE,1_open@1@1
2386,CORRIDOR,1_open@1@1
2387,CORRIDOR,1_open@0@3
2388,WORKING,1_open@1@3
2389,TOILET,1_open@2@1
2390,TOILET,1_open@2@1
2391,STORAGE,1_open@1@1
2392,CORRIDOR,1_open@1@4
2393,BATH,1_open@2@1
2394,WORKING,1_open@2@2
2395,TOILET,1_open@2@2
2396,CORRIDOR,1_open@0@1
2397,TOILET,1_open@1@1
2398,CORRIDOR,1_open@0@3
2399,ROOM,1_open@1@1
2400,BATH,1_open@1@1
2401,CORRIDOR,1_open@0@1
2402,CORRIDOR,1_open@1@2
2403,EXTERIOR,1_open@4@1
2404,TOILET,1_open@3@2
2405,CHILDREN,1_open@2@3
2406,BATH,1_open@3@1
2407,CORRIDOR,1_open@0@1
2408,CORRIDOR,1_open@1@3
2409,EXTERIOR,1_open@3@1
2410,TOILET,1_open@2@2
2411,SLEEPING,1_open@2@2
2412,BATH,1_open@3@1
2413,TOILET,1_open@1@2
2414,ROOM,1_open@1@2
2415,CORRIDOR,1_open@0@4
2416,TOILET,1_open@1@1
2417,BATH,1_open@1@1
2418,TOILET,1_open@1@1
2419,CORRIDOR,1_open@0@3
2420,LIVING,1_open@1@2
2421,EXTERIOR,1_open@2@2
2422,EXTERIOR,1_open@1@3
2423,EXTERIOR,1_open@2@1
2424,CORRIDOR,1_open@0@1
2425,CORRIDOR,1_open@1@2
2426,EXTERIOR,1_open@4@1
2427,KITCHEN,1_open@3@2
2428,SLEEPING,1_open@2@3
2429,BATH,1_open@3@1
2430,TOILET,1_open@1@1
2431,CORRIDOR,1_open@0@4
2432,CORRIDOR,1_open@1@1
2433,CHILDREN,1_open@1@1
2434,STORAGE,1_open@1@1
2435,CORRIDOR,1_open@1@5
2436,BATH,1_open@2@1
2437,CHILDREN,1_open@2@2
2438,BATH,1_open@2@2
2439,CORRIDOR,1_open@0@1
2440,STORAGE,1_open@2@1
2441,BATH,1_open@2@1
2442,CHILDREN,1_open@1@2
2443,CORRIDOR,1_open@0@2
2444,STORAGE,1_open@1@1
2445,CORRIDOR,1_open@0@2
2446,CHILDREN,1_open@1@2
2447,BATH,1_open@2@1
2448,STORAGE,1_open@1@1
2449,BATH,1_open@2@1
2450,ROOM,1_open@1@2
2451,CORRIDOR,1_open@0@2
2452,STORAGE,1_open@1@1
2453,TOILET,1_open@2@1
2454,CHILDREN,1_open@1@2
2455,CORRIDOR,1_open@0@3
2456,BATH,1_open@1@1
2457,STORAGE,1_open@1@1
2458,TOILET,1_open@1@1
2459,CORRIDOR,1_open@0@4
2460,SLEEPING,1_open@1@2
2461,BATH,1_open@1@2
2462,STORAGE,1_open@1@1
2463,TOILET,1_open@2@1
2464,SLEEPING,1_open@1@3
2465,CORRIDOR,1_open@0@1
2466,KITCHEN,1_open@2@1
2467,TOILET,1_open@1@1
2468,CORRIDOR,1_open@0@4
2469,CORRIDOR,1_open@1@1
2470,SLEEPING,1_open@1@1
2471,STORAGE,1_open@1@1
2472,BATH,1_open@2@1
2473,SLEEPING,1_open@1@2
2474,CORRIDOR,1_open@0@2
2475,STORAGE,1_open@1@1
2476,CORRIDOR,1_open@1@5
2477,BATH,1_open@2@1
2478,WORKING,1_open@2@2
2479,BATH,1_open@2@2
2480,CORRIDOR,1_open@0@1
2481,STORAGE,1_open@2@1
2482,TOILET,1_open@1@1
2483,CORRIDOR,1_open@0@3
2484,SLEEPING,1_open@1@2
2485,TOILET,1_open@1@2
2486,CORRIDOR,1_open@1@1
2487,CORRIDOR,1_open@0@3
2488,ROOM,1_open@1@3
2489,TOILET,1_open@2@1
2490,BATH,1_open@2@1
2491,STORAGE,1_open@1@1
2492,TOILET,1_open@2@1
2493,CHILDREN,1_open@1@2
2494,CORRIDOR,1_open@0@3
2495,TOILET,1_open@1@1
2496,STORAGE,1_open@1@1
2497,TOILET,1_open@2@1
2498,CHILDREN,1_open@1@2
2499,CORRIDOR,1_open@0@2
2500,TOILET,1_open@1@1
2501,CORRIDOR,1_open@0@1
2502,CORRIDOR,1_open@1@3
2503,EXTERIOR,1_open@3@1
2504,TOILET,1_open@2@2
2505,WORKING,1_open@2@2
2506,BATH,1_open@3@1
2507,CORRIDOR,1_open@0@2
2508,SLEEPING,1_open@1@2
2509,BATH,1_open@2@1
2510,STORAGE,1_open@1@1
2511,CORRIDOR,1_open@1@1
2512,CORRIDOR,1_open@0@3
2513,WORKING,1_open@1@2
2514,TOILET,1_open@2@1
2515,TOILET,1_open@1@1
2516,CORRIDOR,1_open@1@5
2517,BATH,1_open@2@1
2518,SLEEPING,1_open@2@2
2519,BATH,1_open@2@2
2520,CORRIDOR,1_open@0@1
2521,STORAGE,1_open@2@1
2522,CORRIDOR,1_open@0@1
2523,CORRIDOR,1_open@1@2
2524,EXTERIOR,1_open@4@1
2525,BATH,1_open@3@2
2526,ROOM,1_open@2@3
2527,BATH,1_open@3@1
2528,CORRIDOR,1_open@1@1
2529,CORRIDOR,1_open@0@3
2530,ROOM,1_open@1@3
2531,TOILET,1_open@2@1
2532,TOILET,1_open@2@1
2533,STORAGE,1_open@1@1
2534,TOILET,1_open@1@2
2535,CHILDREN,1_open@1@2
2536,CORRIDOR,1_open@0@4
2537,TOILET,1_open@1@1
2538,BATH,1_open@1@1
2539,CORRIDOR,1_open@1@1
2540,CORRIDOR,1_open@0@2
2541,SLEEPING,1_open@1@3
2542,TOILET,1_open@2@1
2543,BATH,1_open@2@1
2544,CORRIDOR,1_open@0@1
2545,CORRIDOR,1_open@1@2
2546,EXTERIOR,1_open@4@1
2547,TOILET,1_open@3@2
2548,SLEEPING,1_open@2@3
2549,BATH,1_open@3@1
2550,CORRIDOR,1_open@0@1
2551,CORRIDOR,1_open@1@2
2552,EXTERIOR,1_open@4@1
2553,KITCHEN,1_open@3@2
2554,ROOM,1_open@2@3
2555,BATH,1_open@3@1
2556,CORRIDOR,1_open@1@1
2557,CORRIDOR,1_open@0@2
2558,SLEEPING,1_open@1@3
2559,TOILET,1_open@2@1
2560,TOILET,1_open@2@1
2561,CORRIDOR,1_open@1@2
2562,SLEEPING,1_open@2@1
2563,BATH,1_open@1@1
2564,CORRIDOR,1_open@0@3
2565,STORAGE,1_open@1@1
2566,TOILET,1_open@2@1
2567,CHILDREN,1_open@1@3
2568,CORRIDOR,1_open@0@1
2569,BATH,1_open@2@1
2570,CORRIDOR,1_open@1@1
2571,CORRIDOR,1_open@0@2
2572,ROOM,1_open@1@3
2573,TOILET,1_open@2@1
2574,BATH,1_open@2@1
2575,STORAGE,1_open@2@1
2576,WORKING,1_open@1@3
2577,BATH,1_open@2@1
2578,CORRIDOR,1_open@0@1
2579,CORRIDOR,1_open@1@4
2580,BATH,1_open@2@1
2581,SLEEPING,1_open@2@2
2582,BATH,1_open@2@2
2583,CORRIDOR,1_open@0@1
2584,CORRIDOR,1_open@0@1
2585,CORRIDOR,1_open@1@2
2586,EXTERIOR,1_open@4@1
2587,KITCHEN,1_open@3@2
2588,ROOM,1_open@2@3
2589,BATH,1_open@3@1
2590,CORRIDOR,1_open@0@1
2591,CORRIDOR,1_open@1@2
2592,EXTERIOR,1_open@4@1
2593,TOILET,1_open@3@2
2594,ROOM,1_open@2@3
2595,BATH,1_open@3@1
2596,CORRIDOR,1_open@1@4
2597,BATH,1_open@2@1
2598,WORKING,1_open@2@2
2599,BATH,1_open@2@2
2600,CORRIDOR,1_open@0@1
2601,CORRIDOR,1_open@0@1
2602,CORRIDOR,1_open@1@4
2603,EXTERIOR,1_open@3@1
2604,BATH,1_open@2@2
2605,WORKING,1_open@2@2
2606,BATH,1_open@3@1
2607,STORAGE,1_open@2@1
2608,TOILET,1_open@2@1
2609,SLEEPING,1_open@1@3
2610,CORRIDOR,1_open@0@1
2611,TOILET,1_open@2@1
2612,CORRIDOR,1_open@0@2
2613,EXTERIOR,1_open@1@2
2614,BATH,1_open@3@1
2615,SLEEPING,1_open@2@2
2616,STORAGE,1_open@1@1
2617,CORRIDOR,1_open@0@2
2618,SLEEPING,1_open@1@2
2619,BATH,1_open@1@2
2620,CORRIDOR,1_open@1@5
2621,BATH,1_open@2@1
2622,CHILDREN,1_open@2@2
2623,BATH,1_open@2@2
2624,CORRIDOR,1_open@0@1
2625,STORAGE,1_open@2@1
2626,TOILET,1_open@1@1
2627,CORRIDOR,1_open@0@3
2628,LIVING,1_open@1@3
2629,KITCHEN,1_open@1@2
2630,EXTERIOR,1_open@2@1
2631,CORRIDOR,1_open@1@5
2632,BATH,1_open@2@1
2633,SLEEPING,1_open@2@2
2634,BATH,1_open@2@2
2635,CORRIDOR,1_open@0@1
2636,STORAGE,1_open@2@1
2637,CORRIDOR,1_open@0@1
2638,CHILDREN,1_open@1@2
2639,BATH,1_open@2@1
2640,CORRIDOR,1_open@0@1
2641,CORRIDOR,1_open@1@3
2642,EXTERIOR,1_open@4@1
2643,TOILET,1_open@3@2
2644,SLEEPING,1_open@2@3
2645,BATH,1_open@3@1
2646,STORAGE,1_open@2@1
2647,CORRIDOR,1_open@0@1
2648,CORRIDOR,1_open@1@4
2649,EXTERIOR,1_open@3@1
2650,BATH,1_open@2@2
2651,SLEEPING,1_open@2@2
2652,BATH,1_open@3@1
2653,STORAGE,1_open@2@1
2654,CORRIDOR,1_open@0@3
2655,SLEEPING,1_open@1@2
2656,BATH,1_open@1@2
2657,STORAGE,1_open@1@1
2658,BATH,1_open@2@1
2659,SLEEPING,1_open@1@2
2660,CORRIDOR,1_open@0@1
2661,BATH,1_open@2@1
2662,LIVING,1_open@1@3
2663,CORRIDOR,1_open@0@2
2664,STORAGE,1_open@1@1
2665,EXTERIOR,1_open@2@1
2666,BATH,1_open@1@2
2667,CHILDREN,1_open@1@2
2668,CORRIDOR,1_open@0@5
2669,BATH,1_open@1@1
2670,BATH,1_open@1@1
2671,STORAGE,1_open@1@1
2672,BATH,1_open@1@1
2673,CORRIDOR,1_open@0@3
2674,WORKING,1_open@1@1
2675,BATH,1_open@1@1
2676,CORRIDOR,1_open@1@5
2677,BATH,1_open@2@1
2678,ROOM,1_open@2@2
2679,TOILET,1_open@2@2
2680,CORRIDOR,1_open@0@1
2681,STORAGE,1_open@2@1
2682,TOILET,1_open@1@1
2683,CORRIDOR,1_open@0@4
2684,SLEEPING,1_open@1@2
2685,BATH,1_open@1@2
2686,STORAGE,1_open@1@1
2687,BATH,1_open@2@1
2688,LIVING,1_open@1@3
2689,EXTERIOR,1_open@2@1
2690,CORRIDOR,1_open@0@2
2691,STORAGE,1_open@1@1
2692,CORRIDOR,1_open@1@4
2693,BATH,1_open@2@1
2694,CHILDREN,1_open@2@2
2695,TOILET,1_open@2@2
2696,CORRIDOR,1_open@0@1
2697,BATH,1_open@2@1
2698,SLEEPING,1_open@1@3
2699,EXTERIOR,1_open@2@1
2700,CORRIDOR,1_open@0@1
2701,TOILET,1_open@1@1
2702,CORRIDOR,1_open@0@3
2703,CORRIDOR,1_open@1@1
2704,LIVING,1_open@1@1
2705,BATH,1_open@2@1
2706,SLEEPING,1_open@1@2
2707,CORRIDOR,1_open@0@2
2708,STORAGE,1_open@1@1
2709,BATH,1_open@1@2
2710,SLEEPING,1_open@1@2
2711,CORRIDOR,1_open@0@5
2712,BATH,1_open@1@1
2713,BATH,1_open@1@1
2714,STORAGE,1_open@1@1
2715,BATH,1_open@1@1
2716,CORRIDOR,1_open@0@4
2717,ROOM,1_open@1@1
2718,BATH,1_open@1@1
2719,STORAGE,1_open@1@1
2720,BATH,1_open@1@1
2721,CORRIDOR,1_open@0@3
2722,CHILDREN,1_open@1@1
2723,BATH,1_open@1@1
2724,BATH,1_open@1@2
2725,SLEEPING,1_open@1@2
2726,CORRIDOR,1_open@0@4
2727,BATH,1_open@1@1
2728,BATH,1_open@1@1
2729,TOILET,1_open@1@1
2730,CORRIDOR,1_open@0@4
2731,SLEEPING,1_open@1@2
2732,TOILET,1_open@1@2
2733,STORAGE,1_open@1@1
2734,BATH,1_open@2@1
2735,LIVING,1_open@1@3
2736,CORRIDOR,1_open@0@2
2737,STORAGE,1_open@1@1
2738,EXTERIOR,1_open@2@1
2739,CORRIDOR,1_open@1@5
2740,BATH,1_open@2@1
2741,CHILDREN,1_open@2@2
2742,TOILET,1_open@2@2
2743,CORRIDOR,1_open@0@1
2744,STORAGE,1_open@2@1
2745,BATH,1_open@2@1
2746,WORKING,1_open@1@3
2747,EXTERIOR,1_open@2@1
2748,CORRIDOR,1_open@0@1
2749,CORRIDOR,1_open@0@1
2750,CORRIDOR,1_open@1@2
2751,EXTERIOR,1_open@4@1
2752,TOILET,1_open@3@2
2753,WORKING,1_open@2@3
2754,BATH,1_open@3@1
2755,CORRIDOR,1_open@0@3
2756,LIVING,1_open@1@3
2757,BATH,1_open@1@2
2758,STORAGE,1_open@1@1
2759,EXTERIOR,1_open@2@1
2760,CORRIDOR,1_open@0@1
2761,SLEEPING,1_open@1@2
2762,BATH,1_open@2@1
2763,CORRIDOR,1_open@0@1
2764,EXTERIOR,1_open@1@2
2765,BATH,1_open@3@1
2766,LIVING,1_open@2@2
2767,CORRIDOR,1_open@1@4
2768,BATH,1_open@2@1
2769,SLEEPING,1_open@2@2
2770,BATH,1_open@2@2
2771,CORRIDOR,1_open@0@1
2772,CORRIDOR,1_open@0@2
2773,WORKING,1_open@1@2
2774,BATH,1_open@1@2
2775,CORRIDOR,1_open@0@2
2776,SLEEPING,1_open@1@1
2777,BATH,1_open@2@1
2778,BATH,1_open@1@2
2779,CORRIDOR,1_open@1@4
2780,BATH,1_open@2@1
2781,ROOM,1_open@2@2
2782,BATH,1_open@2@2
2783,CORRIDOR,1_open@0@1
2784,CORRIDOR,1_open@0@5
2785,LIVING,1_open@1@3
2786,EXTERIOR,1_open@2@1
2787,KITCHEN,1_open@1@2
2788,BATH,1_open@1@1
2789,EXTERIOR,1_open@1@1
2790,STORAGE,1_open@1@1
2791,TOILET,1_open@2@1
2792,SLEEPING,1_open@1@3
2793,CORRIDOR,1_open@0@2
2794,TOILET,1_open@2@1
2795,STORAGE,1_open@1@1
2796,BATH,1_open@1@2
2797,SLEEPING,1_open@2@1
2798,CORRIDOR,1_open@1@1
2799,CORRIDOR,1_open@0@3
2800,STORAGE,1_open@1@1
2801,CORRIDOR,1_open@0@2
2802,SLEEPING,1_open@1@2
2803,BATH,1_open@1@2
2804,BATH,1_open@2@1
2805,LIVING,1_open@1@3
2806,CORRIDOR,1_open@0@1
2807,EXTERIOR,1_open@2@1
2808,TOILET,1_open@1@1
2809,CORRIDOR,1_open@0@3
2810,CORRIDOR,1_open@1@1
2811,LIVING,1_open@1@1
2812,TOILET,1_open@2@1
2813,CHILDREN,1_open@1@3
2814,CORRIDOR,1_open@0@1
2815,TOILET,1_open@2@1
2816,TOILET,1_open@2@1
2817,WORKING,1_open@1@2
2818,CORRIDOR,1_open@0@2
2819,BATH,1_open@1@1
2820,BATH,1_open@2@1
2821,LIVING,1_open@1@3
2822,CORRIDOR,1_open@0@1
2823,EXTERIOR,1_open@2@1
2824,CORRIDOR,1_open@0@1
2825,CORRIDOR,1_open@1@2
2826,EXTERIOR,1_open@4@1
2827,BATH,1_open@3@2
2828,SLEEPING,1_open@2@3
2829,BATH,1_open@3@1
2830,TOILET,1_open@1@1
2831,CORRIDOR,1_open@0@4
2832,CORRIDOR,1_open@1@1
2833,SLEEPING,1_open@1@1
2834,STORAGE,1_open@1@1
2835,BATH,1_open@2@1
2836,SLEEPING,1_open@1@3
2837,EXTERIOR,1_open@2@1
2838,CORRIDOR,1_open@0@1
2839,CORRIDOR,1_open@0@2
2840,ROOM,1_open@1@2
2841,BATH,1_open@2@1
2842,STORAGE,1_open@1@1
2843,TOILET,1_open@1@1
2844,CORRIDOR,1_open@0@3
2845,CORRIDOR,1_open@2@1
2846,CORRIDOR,1_open@1@2
2847,KITCHEN,1_open@1@2
2848,LIVING,1_open@2@1
2849,CORRIDOR,1_open@0@1
2850,SLEEPING,1_open@1@2
2851,BATH,1_open@2@1
2852,TOILET,1_open@1@1
2853,CORRIDOR,1_open@0@3
2854,CORRIDOR,1_open@2@1
2855,CORRIDOR,1_open@1@2
2856,KITCHEN,1_open@1@2
2857,ROOM,1_open@2@1
2858,BATH,1_open@1@1
2859,CORRIDOR,1_open@0@4
2860,CHILDREN,1_open@1@1
2861,BATH,1_open@1@1
2862,STORAGE,1_open@1@1
2863,CORRIDOR,1_open@0@3
2864,TOILET,1_open@1@1
2865,KITCHEN,1_open@1@2
2866,SLEEPING,1_open@1@2
2867,TOILET,1_open@1@1
2868,CORRIDOR,1_open@0@3
2869,SLEEPING,1_open@1@2
2870,BATH,1_open@1@2
2871,CORRIDOR,1_open@0@1
2872,SLEEPING,1_open@1@2
2873,BATH,1_open@2@2
2874,BATH,1_open@3@1
2875,CORRIDOR,1_open@1@1
2876,CORRIDOR,1_open@0@3
2877,SLEEPING,1_open@1@3
2878,TOILET,1_open@2@1
2879,KITCHEN,1_open@2@1
2880,STORAGE,1_open@1@1
2881,CORRIDOR,1_open@0@1
2882,CORRIDOR,1_open@1@2
2883,EXTERIOR,1_open@4@1
2884,BATH,1_open@3@2
2885,SLEEPING,1_open@2@3
2886,BATH,1_open@3@1
2887,CORRIDOR,1_open@1@5
2888,BATH,1_open@2@1
2889,SLEEPING,1_open@2@2
2890,TOILET,1_open@2@2
2891,CORRIDOR,1_open@0@1
2892,STORAGE,1_open@2@1
2893,BATH,1_open@2@1
2894,LIVING,1_open@1@3
2895,EXTERIOR,1_open@2@1
2896,CORRIDOR,1_open@0@1
2897,BATH,1_open@1@1
2898,CORRIDOR,1_open@0@3
2899,CHILDREN,1_open@1@1
2900,BATH,1_open@1@1
2901,TOILET,1_open@1@1
2902,CORRIDOR,1_open@0@4
2903,CORRIDOR,1_open@1@1
2904,LIVING,1_open@1@2
2905,STORAGE,1_open@1@1
2906,EXTERIOR,1_open@2@1
2907,CORRIDOR,1_open@0@1
2908,CORRIDOR,1_open@1@3
2909,EXTERIOR,1_open@3@1
2910,BATH,1_open@2@2
2911,WORKING,1_open@2@2
2912,BATH,1_open@3@1
2913,BATH,1_open@1@1
2914,CORRIDOR,1_open@0@3
2915,ROOM,1_open@1@1
2916,BATH,1_open@1@1
2917,CORRIDOR,1_open@1@4
2918,BATH,1_open@2@1
2919,ROOM,1_open@2@2
2920,BATH,1_open@2@2
2921,CORRIDOR,1_open@0@1
2922,CORRIDOR,1_open@1@4
2923,BATH,1_open@2@1
2924,WORKING,1_open@2@2
2925,BATH,1_open@2@2
2926,CORRIDOR,1_open@0@1
2927,STORAGE,1_open@2@1
2928,CHILDREN,1_open@1@3
